REPOSITORY            TAG       IMAGE ID       CREATED        SIZE
gtokarev/testubuntu   latest    d4acfbca227a   2 hours ago    63.2MB
ubuntu                18.04     dcf4d4bef137   7 days ago     63.2MB
nginx                 latest    f652ca386ed1   2 months ago   141MB
httpd                 latest    ea28e1b82f31   2 months ago   143MB
debian                latest    05d2318291e3   2 months ago   124MB
fedora                latest    b78af7a83692   2 months ago   153MB
mariadb               latest    e2278f24ac88   3 months ago   410MB
ubuntu                latest    ba6acccedd29   3 months ago   72.8MB
hello-world           latest    feb5d9fea6a5   4 months ago   13.3kB
centos                latest    5d0da3dc9764   4 months ago   231MB

